# Sensor Комендантский проспект, округ Коломяги, Russia (Citizen Science project sensor.community/82410)
# https://aqicn.org/station/@410605/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2024-01-30T00:00:00.000Z,1.8,7.13,2.83,2.45,3.75,1.254,778
2024-01-31T00:00:00.000Z,1.75,6.97,3.78,3.25,4.2,0.713,1391
2024-02-01T00:00:00.000Z,0.17,2.65,1.02,0.8,1.3,0.379,1307
2024-02-02T00:00:00.000Z,0.03,1.95,0.68,0.5,0.9,0.302,1261
2024-02-03T00:00:00.000Z,0.68,2.54,1.5,1.33,1.67,0.256,1207
2024-02-04T00:00:00.000Z,0.25,2.47,1,0.82,1.23,0.361,1337
2024-02-05T00:00:00.000Z,0.43,2.45,1.4,1.12,1.6,0.342,1374
2024-02-06T00:00:00.000Z,0.7,3.08,1.7,1.35,2,0.412,1379
2024-02-07T00:00:00.000Z,0.82,3.97,2.25,1.84,2.6,0.533,1349
2024-02-08T00:00:00.000Z,0.47,3.85,2.17,1.73,2.6,0.6,1283
2024-02-09T00:00:00.000Z,0.22,2.6,1.5,1.23,1.73,0.36,1354
2024-02-10T00:00:00.000Z,0.55,6.7,3.3,2.29,3.97,1.174,1341
2024-02-11T00:00:00.000Z,1.6,5.22,2.97,2.5,3.45,0.676,1372
2024-02-12T00:00:00.000Z,1.14,4.88,2.88,2.1,3.38,0.776,1356
2024-02-13T00:00:00.000Z,0.98,3.1,1.77,1.58,1.98,0.305,1357
2024-02-14T00:00:00.000Z,1.27,3.95,2.1,1.9,2.29,0.397,1372
2024-02-15T00:00:00.000Z,2.47,9.23,5.85,4.04,6.63,1.46,1332
2024-02-16T00:00:00.000Z,0.55,7.4,2.58,2.2,4.09,1.407,1364
2024-02-17T00:00:00.000Z,0,3.88,1,0.68,2.13,0.96,1377
2024-02-18T00:00:00.000Z,0,4.82,0.47,0.3,0.7,0.782,1365
2024-02-19T00:00:00.000Z,0.2,2.75,1.2,1,1.4,0.341,1369
2024-02-20T00:00:00.000Z,0.55,2.29,1.35,1.08,1.65,0.368,923
2024-02-21T00:00:00.000Z,1.2,5.2,3.33,2.29,3.9,0.918,1382
2024-02-22T00:00:00.000Z,2.45,4.84,3.65,3.42,3.88,0.34,1374
2024-02-23T00:00:00.000Z,1.5,5.22,3,2.7,3.42,0.664,1372
2024-02-24T00:00:00.000Z,1.14,6.2,2.9,2.4,3.55,0.899,1380
2024-02-25T00:00:00.000Z,0,6.1,1.4,0.8,1.92,1.158,1373
2024-02-26T00:00:00.000Z,1.9,4.84,2.9,2.58,3.2,0.429,1370
2024-02-27T00:00:00.000Z,1.02,4.05,2,1.5,2.9,0.74,1353
2024-02-28T00:00:00.000Z,1.63,5.93,3.53,2.85,4.25,0.909,1379
2024-02-29T00:00:00.000Z,0.98,6.3,2.35,1.8,4.2,1.285,1356
2024-03-01T00:00:00.000Z,0.98,3.2,2,1.7,2.25,0.402,1223
2024-03-02T00:00:00.000Z,1.08,3.35,2.2,1.9,2.47,0.397,1368
2024-03-03T00:00:00.000Z,2.17,11.7,4.57,4,6.99,2.204,1325
2024-03-04T00:00:00.000Z,0.88,8.02,3.95,2.24,5.32,1.702,1320
2024-03-05T00:00:00.000Z,0.15,6.65,1,0.65,1.4,0.772,1305
2024-03-06T00:00:00.000Z,0.56,4.22,1.52,1.3,1.75,0.408,1294
2024-03-07T00:00:00.000Z,1.23,3.33,1.98,1.77,2.22,0.356,1322
2024-03-08T00:00:00.000Z,0.63,2.4,1.38,1.17,1.6,0.308,1338
2024-03-09T00:00:00.000Z,0.6,123.25,1.63,1.4,1.95,8.022,1351
2024-03-10T00:00:00.000Z,0.63,2.78,1.4,1.2,1.6,0.281,1347
2024-03-11T00:00:00.000Z,0.6,6.07,1.33,1.17,1.6,0.694,1239
2024-03-12T00:00:00.000Z,1,4.53,1.9,1.7,2.1,0.408,1316
2024-03-13T00:00:00.000Z,1,4.25,2.83,2,3.3,0.768,1353
2024-03-14T00:00:00.000Z,3.25,6.18,4.4,4.03,4.95,0.589,1271
2024-03-15T00:00:00.000Z,2.35,9.88,5.25,4.25,6.3,1.384,1326
2024-03-16T00:00:00.000Z,3.58,8.32,5.43,4.82,6.03,0.917,1363
2024-03-17T00:00:00.000Z,0,4.53,0.47,0.25,3.22,1.464,1295
2024-03-18T00:00:00.000Z,0,2.29,0.98,0.7,1.17,0.366,1373
2024-03-19T00:00:00.000Z,1,3.92,1.9,1.65,2.2,0.474,1355
2024-03-20T00:00:00.000Z,2,5.22,3.15,2.88,3.58,0.499,1355
2024-03-21T00:00:00.000Z,1,4.59,2.6,2.15,3.5,0.858,1378
2024-03-22T00:00:00.000Z,1.45,6.82,3.53,2.13,4.73,1.358,1180
2024-03-23T00:00:00.000Z,0.2,2.8,1.3,1.05,1.5,0.394,1283
2024-03-24T00:00:00.000Z,0.55,3.17,1.7,1.48,1.95,0.374,1326
2024-03-25T00:00:00.000Z,1,3.15,1.83,1.63,2.08,0.359,1380
2024-03-26T00:00:00.000Z,0.98,6.85,2.6,1.92,3.3,1.071,1376
